SPEED_X;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
-0,00011;0,50022;0,33332;0,07293;0,13585;0,33079;1,00000;0,28323;0,07185;0,03671;5;Decelerazione
