track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,trackPos,angle,speedX,rpm,gear,accelerate,brake,steering
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,942.478,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,1100.33,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,1263.95,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,1432.32,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,1605.57,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,1783.85,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,1967.31,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,2156.5,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,2359.56,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,2580.78,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,2821.75,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,3084.25,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,3368.7,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,3672.92,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,3998.1,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,4345.29,0,1.0,0.0,0.0
7.3335,7.44788,7.80563,8.46804,9.56783,11.3873,14.5863,21.0474,38.3725,200.0,22.1469,10.7852,7.34229,5.70446,4.78467,4.23193,3.90051,3.72229,3.6665,-0.333363,0.0014022,-0.00586245,4712.09,0,1.0,0.0,0.0
