track0;track4;track9;track14;track18;trackPos;angle;speedX;accelerate;brake;steering
-1.0;-1.0;-1.0;-1.0;-1.0;2.78635;-1.79802;-0.0271667;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78632;-1.79809;-0.0517219;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78629;-1.79817;-0.0216923;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78626;-1.79822;-0.0495724;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78624;-1.79829;-0.0222999;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78621;-1.79835;-0.049854;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78619;-1.79842;-0.0227258;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78616;-1.79846;-0.0630736;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78613;-1.79853;-0.0193289;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78609;-1.79857;-0.0444003;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78607;-1.79863;-0.0450606;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78604;-1.79864;-0.0318495;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78601;-1.79869;-0.0325684;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78598;-1.79868;-0.0647984;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78595;-1.79869;-0.0236784;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78591;-1.79869;-0.0525773;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78587;-1.79871;-0.0533341;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78584;-1.79869;-0.0391245;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7858;-1.79873;-0.0390857;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78577;-1.79872;-0.0689081;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78573;-1.79873;-0.0227867;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7857;-1.79873;-0.0469622;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78566;-1.79872;-0.0371292;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78562;-1.79874;-0.0625307;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78559;-1.79877;-0.0330507;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78555;-1.79878;-0.0624077;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78551;-1.7988;-0.0327911;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78547;-1.79882;-0.0565145;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78544;-1.79885;-0.0255491;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78541;-1.79884;-0.0597995;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78538;-1.79885;-0.0203825;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78534;-1.79885;-0.0499286;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7853;-1.7989;-0.057536;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78526;-1.79893;-0.0334167;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78522;-1.79894;-0.0407357;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78519;-1.79895;-0.0716563;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78515;-1.79899;-0.0246472;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78511;-1.79897;-0.0532404;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78507;-1.79901;-0.0618306;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78503;-1.79903;-0.0412076;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78498;-1.79906;-0.0539242;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78494;-1.79907;-0.0482137;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7849;-1.79907;-0.0516947;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78485;-1.79908;-0.046219;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78481;-1.79908;-0.0512228;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78477;-1.79909;-0.0459857;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78473;-1.79909;-0.0511111;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78469;-1.7991;-0.0459922;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78465;-1.7991;-0.0507198;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78461;-1.79911;-0.0457567;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78457;-1.79911;-0.0503757;0.0;0.0;0.0
