track0;track1;track2;track3;track4;track5;track6;track7;track8;track9;track10;track11;track12;track13;track14;track15;track16;track17;track18;trackPos;angle;speedX;rpm;gear;accelerate;brake;steering;classLabel
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44788;7.80563;8.46804;9.56783;11.3873;14.5863;21.0474;38.3725;200.0;22.1469;10.7852;7.34229;5.70446;4.78467;4.23193;3.90051;3.72229;3.6665;-0.333363;0.0014022;-0.00586245;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44763;7.80508;8.46715;9.56646;11.3845;14.5815;21.0365;38.338;200.0;22.1765;10.7911;7.34479;5.70569;4.7855;4.23233;3.90076;3.72253;3.66638;-0.333363;0.00120956;-0.00837453;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44763;7.80482;8.46659;9.56529;11.3827;14.5782;21.0297;38.3152;200.0;22.1933;10.795;7.3465;5.70649;4.78594;4.23265;3.90088;3.72241;3.6665;-0.333363;0.0010832;-0.00882249;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44727;7.80461;8.46628;9.56473;11.3816;14.5758;21.0248;38.2984;200.0;22.2062;10.7972;7.34777;5.70717;4.78638;4.23284;3.90112;3.72253;3.6665;-0.333363;9.94984E-4;-0.00890653;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44727;7.80443;8.46563;9.56404;11.3805;14.574;21.0211;38.2861;200.0;22.2175;10.7997;7.34871;5.70768;4.78651;4.23312;3.901;3.72266;3.66638;-0.333363;9.21551E-4;-0.00921256;942.478;1.0;0.0;0.0;0.0;0
