SPEED_X;SPEED_Y;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
0,61580;0,66026;0,50808;0,23342;0,07928;0,11997;0,16829;0,20059;0,23808;0,05355;0,02473;2;Gira Destra
0,61487;0,66085;0,50841;0,23775;0,07909;0,11990;0,16841;0,20084;0,23846;0,05432;0,02512;2;Gira Destra
0,61396;0,66074;0,50867;0,24196;0,07887;0,11976;0,16840;0,20093;0,23866;0,05518;0,02552;2;Gira Destra
0,61306;0,65998;0,50887;0,24605;0,07862;0,11954;0,16828;0,20088;0,23870;0,05613;0,02592;2;Gira Destra
0,61218;0,65876;0,50902;0,25001;0,07835;0,11927;0,16807;0,20073;0,23862;0,05714;0,02631;2;Gira Destra
0,61131;0,65715;0,50913;0,25385;0,07806;0,11895;0,16778;0,20048;0,23842;0,05822;0,02671;2;Gira Destra
0,61047;0,65512;0,50919;0,25755;0,07775;0,11858;0,16740;0,20013;0,23811;0,05937;0,02710;2;Gira Destra
0,60964;0,65253;0,50919;0,26114;0,07742;0,11815;0,16692;0,19964;0,23764;0,06064;0,02750;2;Gira Destra
0,95070;0,65336;0,51313;0,71043;0,03731;0,08931;0,48614;0,75414;0,23125;0,11576;0,06859;1;Accelera
0,95034;0,66078;0,51483;0,70601;0,03875;0,09634;0,51645;0,77618;0,21638;0,11172;0,06714;1;Accelera
0,95018;0,65569;0,51583;0,70040;0,04004;0,10197;0,53016;0,78542;0,20748;0,10898;0,06601;1;Accelera
0,94797;0,65650;0,50527;0,23481;0,08550;0,15483;0,29975;0,44815;0,63488;0,04674;0,02473;2;Gira Destra
0,94717;0,66936;0,50666;0,23788;0,08649;0,15881;0,31286;0,46646;0,17040;0,04587;0,02469;2;Gira Destra
0,94640;0,67763;0,50783;0,24033;0,08736;0,16235;0,32455;0,48198;0,14300;0,04517;0,02465;1;Accelera
0,94576;0,68199;0,50869;0,24217;0,08805;0,16521;0,33386;0,49386;0,13066;0,04467;0,02462;1;Accelera
0,94547;0,67915;0,50906;0,24349;0,08830;0,16649;0,33832;0,49907;0,12653;0,04456;0,02467;1;Accelera
0,94539;0,66706;0,50889;0,24435;0,08809;0,16607;0,33764;0,49744;0,12824;0,04485;0,02479;1;Accelera
0,61095;0,65022;0,52304;0,33341;0,08028;0,13046;0,19016;0,22870;0,27185;0,05608;0,03096;2;Gira Destra
0,61069;0,65297;0,52342;0,33044;0,08089;0,13149;0,19151;0,23016;0,27337;0,05495;0,03057;2;Gira Destra
0,61045;0,65394;0,52365;0,32742;0,08137;0,13225;0,19244;0,23114;0,27437;0,05404;0,03021;2;Gira Destra
0,61022;0,65396;0,52374;0,32436;0,08176;0,13278;0,19303;0,23174;0,27495;0,05329;0,02989;2;Gira Destra
0,61004;0,65325;0,52375;0,32124;0,08208;0,13317;0,19341;0,23208;0,27525;0,05265;0,02959;2;Gira Destra
0,60990;0,65141;0,52361;0,31809;0,08228;0,13330;0,19340;0,23198;0,27506;0,05218;0,02932;2;Gira Destra
0,66406;0,65136;0,50876;0,22276;0,08086;0,12265;0,17221;0,20520;0,24328;0,04877;0,02336;2;Gira Destra
0,66297;0,65844;0,50937;0,22591;0,08098;0,12313;0,17309;0,20629;0,24457;0,04873;0,02354;2;Gira Destra
0,66187;0,66449;0,50991;0,22910;0,08104;0,12349;0,17379;0,20718;0,24562;0,04882;0,02376;2;Gira Destra
0,66077;0,66957;0,51036;0,23230;0,08105;0,12374;0,17432;0,20785;0,24644;0,04904;0,02399;2;Gira Destra
0,65968;0,67370;0,51073;0,23553;0,08099;0,12386;0,17467;0,20832;0,24702;0,04938;0,02425;2;Gira Destra
0,65860;0,67684;0,51101;0,23879;0,08088;0,12387;0,17482;0,20857;0,24736;0,04986;0,02452;2;Gira Destra
0,65754;0,67897;0,51121;0,24207;0,08070;0,12373;0,17477;0,20858;0,24743;0,05048;0,02483;2;Gira Destra
0,65649;0,68015;0,51133;0,24535;0,08046;0,12349;0,17455;0,20838;0,24727;0,05122;0,02515;2;Gira Destra
0,65547;0,68052;0,51136;0,24865;0,08017;0,12312;0,17415;0,20798;0,24688;0,05210;0,02549;2;Gira Destra
0,65446;0,68005;0,51132;0,25195;0,07983;0,12265;0,17358;0,20738;0,24627;0,05312;0,02586;2;Gira Destra
0,65349;0,67869;0,51120;0,25526;0,07942;0,12205;0,17282;0,20656;0,24542;0,05431;0,02625;2;Gira Destra
0,65253;0,67650;0,51101;0,25857;0,07897;0,12135;0,17191;0,20556;0,24436;0,05567;0,02667;2;Gira Destra
0,65161;0,67371;0,51076;0,26188;0,07848;0,12056;0,17086;0,20440;0,24312;0,05719;0,02710;2;Gira Destra
0,65071;0,67034;0,51044;0,26519;0,07795;0,11970;0,16969;0,20309;0,24171;0,05892;0,02756;2;Gira Destra
0,64983;0,66626;0,51006;0,26849;0,07738;0,11874;0,16837;0,20161;0,24011;0,06089;0,02804;2;Gira Destra
0,64928;0,66163;0,50962;0,27179;0,07677;0,11771;0,16694;0,20000;0,23835;0,06314;0,02854;2;Gira Destra
0,64904;0,65681;0,50914;0,27509;0,07614;0,11662;0,16542;0,19827;0,23646;0,06571;0,02907;2;Gira Destra
0,64888;0,65151;0,50859;0,27839;0,07547;0,11545;0,16377;0,19639;0,23439;0,06877;0,02962;2;Gira Destra
SPEED_X;SPEED_Y;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
0,65638;0,65157;0,51654;0,15422;0,09228;0,14003;0,19365;0,22752;0,26567;0,02611;0,01480;2;Gira Destra
0,65549;0,65276;0,51648;0,15343;0,09230;0,14002;0,19353;0,22734;0,26547;0,02600;0,01473;2;Gira Destra
0,65462;0,65311;0,51636;0,15274;0,09226;0,13990;0,19324;0,22698;0,26508;0,02593;0,01468;2;Gira Destra
0,65376;0,65307;0,51619;0,15214;0,09219;0,13970;0,19285;0,22651;0,26458;0,02591;0,01464;2;Gira Destra
0,65290;0,65261;0,51599;0,15165;0,09207;0,13943;0,19235;0,22592;0,26396;0,02593;0,01462;2;Gira Destra
0,65237;0,65151;0,51572;0,15122;0,09190;0,13907;0,19172;0,22519;0,26316;0,02599;0,01462;2;Gira Destra
0,55360;0,60137;0,49880;0,95189;0,00522;0,00994;0,02795;0,35066;0,65741;0,20815;0,10610;2;Gira Destra
0,55294;0,60321;0,50111;0,95713;0,00477;0,00935;0,02939;1,00000;0,55950;0,19825;0,10403;2;Gira Destra
