SPEED_X;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
243,83400;0,02900;0,56395;4,97818;9,69678;24,00760;48,04660;94,26180;38,13050;17,13940;1;Accelera
243,87100;0,02271;0,55962;4,97176;9,57242;23,20100;46,09850;91,32240;39,28250;17,28040;1;Accelera
243,90700;0,01649;0,55610;4,95776;9,44149;22,43110;44,23460;88,43840;40,53000;17,42980;1;Accelera
243,94200;0,01055;0,55357;4,93572;9,30498;21,70390;42,48190;85,66940;41,86120;17,58680;1;Accelera
243,97600;0,00493;0,55206;4,90549;9,16201;21,01580;40,84090;83,03260;43,27140;17,75040;1;Accelera
244,00900;-0,00048;0,55163;4,86665;9,01199;20,35990;39,29810;80,51830;44,77100;17,92100;1;Accelera
244,04100;-0,00557;0,55230;4,81901;8,85340;19,72520;37,83260;78,10600;46,37960;18,10060;2;Gira Destra
244,03200;-0,00772;0,55375;4,78718;8,76883;19,45100;37,28820;77,35730;46,98560;18,18550;2;Gira Destra
243,96300;-0,00289;0,55513;4,81190;8,88905;20,06570;39,00030;80,61200;44,98110;18,01620;1;Accelera
243,91600;0,00576;0,55632;4,86988;9,13196;21,24910;42,16260;85,96280;42,12670;17,72120;1;Accelera
243,91300;0,01081;0,55782;4,89638;9,26810;21,99660;44,24190;89,21230;40,64150;17,55930;1;Accelera
243,91800;0,01218;0,55954;4,88996;9,28418;22,20210;44,96830;90,31140;40,19280;17,52430;1;Accelera
243,93600;0,01109;0,56139;4,86091;9,21605;22,01240;44,70100;89,94440;40,38330;17,57440;1;Accelera
243,96300;0,00823;0,56334;4,81651;9,09100;21,55650;43,74010;88,57180;41,02210;17,68380;1;Accelera
243,99600;0,00425;0,56548;4,76138;8,93002;20,93750;42,34320;86,53900;42,00060;17,83530;2;Gira Destra
243,98500;0,00171;0,56764;4,71796;8,81440;20,53540;41,49810;85,28910;42,62810;17,94060;2;Gira Destra
243,90300;0,00414;0,56935;4,71969;8,85922;20,86630;42,56760;86,82360;41,84870;17,86760;1;Accelera
243,84000;0,00976;0,57058;4,75218;9,01274;21,70700;44,97580;90,06380;40,31700;17,68490;1;Accelera
243,84300;0,01270;0,57190;4,76227;9,08380;22,16850;46,39310;91,77030;39,54270;17,59560;1;Accelera
243,85700;0,01266;0,57329;4,74746;9,05999;22,16090;46,57470;91,81900;39,47050;17,60450;1;Accelera
243,88200;0,01066;0,57474;4,71559;8,97031;21,82710;45,88160;90,74270;39,86550;17,68070;1;Accelera
243,91400;0,00728;0,57631;4,67161;8,83725;21,28300;44,61010;88,91330;40,60050;17,80440;2;Gira Destra
243,90200;0,00518;0,57778;4,63933;8,74747;20,94970;43,88770;87,76470;41,04160;17,88510;2;Gira Destra
243,82000;0,00799;0,57867;4,65242;8,81889;21,38420;45,24470;89,23040;40,27340;17,79410;1;Accelera
243,75600;0,01379;0,57904;4,69580;8,99877;22,35450;48,01060;92,27160;38,86690;17,59940;1;Accelera
243,75900;0,01694;0,57939;4,71827;9,09811;22,92760;49,59930;93,83760;38,12200;17,49520;1;Accelera
243,77400;0,01718;0,57976;4,71652;9,10196;23,00170;49,84620;93,82500;37,99720;17,48590;1;Accelera
243,79900;0,01536;0,58006;4,69876;9,04027;22,72440;49,17220;92,73120;38,28360;17,54070;2;Gira Destra
243,78300;0,01427;0,58017;4,68875;9,00534;22,57360;48,79460;91,97690;38,42940;17,57180;2;Gira Destra
243,69800;0,01736;0,57958;4,72138;9,12280;23,19040;50,27410;93,39350;37,70130;17,45940;2;Gira Destra
243,58600;0,02395;0,57818;4,79315;9,38175;24,54390;53,33830;96,57880;36,34190;17,23040;1;Accelera
243,49500;0,03219;0,57596;4,89030;9,73097;26,40770;57,18470;100,51900;34,81640;16,95140;1;Accelera
243,47700;0,03707;0,57339;4,96431;9,97928;27,70460;59,51360;102,71100;33,92500;16,77430;1;Accelera
243,47800;0,03866;0,57050;5,01276;10,11120;28,29100;60,28770;103,20700;33,56140;16,69180;1;Accelera
243,49800;0,03789;0,56719;5,04427;10,15830;28,33010;59,95290;102,50600;33,54930;16,67340;2;Gira Destra
243,48000;0,03706;0,56336;5,08117;10,21540;28,38320;59,60410;101,78200;33,53890;16,65050;2;Gira Destra
243,39100;0,03952;0,55861;5,15978;10,42610;29,28130;60,74260;102,65300;33,02790;16,52420;1;Accelera
243,31600;0,04416;0,55301;5,27011;10,75320;30,77970;62,85540;104,55300;32,21210;16,32960;1;Accelera
243,31800;0,04640;0,54709;5,36235;10,99340;31,67870;63,87100;105,27200;31,74700;16,19950;1;Accelera
243,33700;0,04615;0,54097;5,43183;11,12690;31,89060;63,71450;104,74800;31,63240;16,13710;1;Accelera
243,36800;0,04407;0,53459;5,48561;11,18420;31,62770;62,75340;103,36200;31,76440;16,12100;1;Accelera
243,40200;0,04081;0,52809;5,52831;11,19090;31,07130;61,28860;101,42000;32,07420;16,13590;2;Gira Destra
243,39300;0,03897;0,52130;5,58831;11,26540;30,87260;60,44070;100,13200;32,19810;16,10940;2;Gira Destra
243,31500;0,04201;0,51384;5,70707;11,57610;31,86860;61,67120;101,11600;31,61400;15,94170;1;Accelera
243,25300;0,04823;0,50568;5,87029;12,06330;33,68330;64,22160;103,51700;30,61870;15,68550;1;Accelera
243,25900;0,05185;0,49738;6,00917;12,44310;34,84430;65,63090;104,67200;30,00800;15,50070;1;Accelera
243,27600;0,05254;0,48893;6,11768;12,68240;35,22660;65,77360;104,47700;29,77740;15,39030;1;Accelera
243,30200;0,05130;0,48034;6,20529;12,82320;35,08040;65,08140;103,39100;29,79590;15,32790;1;Accelera
243,33600;0,04876;0,47162;6,27822;12,89690;34,59830;63,85290;101,72000;29,98990;15,29730;2;Gira Destra
243,32400;0,04754;0,46266;6,36967;13,03990;34,45600;63,17920;100,64300;30,02000;15,23290;2;Gira Destra
243,24200;0,05139;0,45293;6,53138;13,45850;35,55730;64,52260;101,76500;29,39420;15,03670;2;Gira Destra
243,13900;0,05917;0,44229;6,75732;14,12220;37,69810;67,43870;104,56200;28,30980;14,74120;1;Accelera
243,05300;0,06868;0,43079;7,02480;14,93750;40,39810;71,04830;108,03800;27,10540;14,40810;1;Accelera
243,03500;0,07473;0,41884;7,25688;15,56880;42,19680;73,21600;110,03800;26,33360;14,16120;1;Accelera
243,03600;0,07724;0,40644;7,44225;15,97790;42,99100;73,91710;110,51600;25,93170;13,99480;1;Accelera
243,05300;0,07730;0,39351;7,59308;16,22090;43,06830;73,60720;109,91000;25,76950;13,88120;2;Gira Destra
243,03600;0,07732;0,37989;7,74671;16,46390;43,13490;73,28070;109,28700;25,60510;13,76500;2;Gira Destra
242,95400;0,08027;0,36526;7,95353;16,92310;44,03210;74,11690;109,97200;25,14860;13,57880;1;Accelera
242,88500;0,08372;0,34987;8,19363;17,51120;45,37930;75,55780;111,38500;24,54760;13,35560;1;Accelera
242,88400;0,08465;0,33436;8,39905;17,93850;46,07240;76,08950;111,79900;24,16030;13,18050;1;Accelera
242,90900;0,08341;0,31891;8,56652;18,19670;46,12890;75,76140;111,23100;23,96760;13,05110;1;Accelera
242,94100;0,08052;0,30352;8,70449;18,32880;45,73960;74,83120;109,95700;23,91410;12,95410;2;Gira Destra
242,93300;0,07840;0,28799;8,85538;18,51570;45,56710;74,19990;109,03100;23,79170;12,84000;2;Gira Destra
242,84900;0,08049;0,27187;9,08643;19,02900;46,54490;75,14660;110,01400;23,28960;12,63540;2;Gira Destra
242,74100;0,08614;0,25509;9,39369;19,84790;48,52730;77,42000;112,68200;22,49150;12,35670;1;Accelera
