SPEEDX;SPEEDY;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
-0.0059;-0.0279;0.0014;-0.3334;9.5678;14.5863;38.3725;200.0000;22.1469;7.3423;4.7847;0
